29.80,0.00,0,11.47,2.22,29.60
29.90,0.00,0,11.57,2.14,29.60
29.80,0.00,0,11.57,2.19,29.60
29.80,0.00,0,11.63,2.07,29.60
29.80,0.00,0,11.57,2.08,29.60
29.80,0.00,0,11.61,2.15,29.60
29.80,0.00,0,11.62,2.17,29.60
29.80,0.00,0,11.62,2.08,29.70
29.90,0.00,0,11.56,2.15,29.70
29.80,0.00,0,11.60,2.15,29.60
29.80,0.00,0,11.57,2.15,29.60
29.80,0.00,0,11.57,2.12,29.70
29.90,0.00,0,11.63,2.11,29.60
29.90,0.00,0,11.52,2.15,29.60
29.90,0.00,0,11.56,2.14,29.60
29.80,0.00,0,11.55,2.14,29.60
29.90,0.00,0,11.50,2.15,29.70
29.90,0.00,0,11.55,2.14,29.80
29.80,0.00,0,11.54,2.18,29.70
29.80,0.00,0,11.62,2.12,29.70
29.80,0.00,0,11.58,2.15,29.70
29.80,0.00,0,11.60,2.12,29.70
29.90,0.00,0,11.57,2.11,29.70
29.90,0.00,0,11.60,2.15,29.80
29.90,0.00,0,11.59,2.15,29.80
29.90,0.00,0,11.59,2.12,29.80
30.00,0.00,0,11.61,2.15,29.80
29.90,0.00,0,11.56,2.09,29.80
29.90,0.00,0,11.54,2.11,29.80
29.90,0.00,0,11.60,2.14,29.90
29.90,0.00,0,11.59,2.11,30.00
29.90,0.00,0,11.59,2.14,30.00
29.90,0.00,0,11.60,2.15,30.20
29.90,0.00,0,11.59,2.08,30.20
29.90,0.00,0,11.61,2.08,30.30
29.90,0.00,0,11.62,2.13,30.40
29.90,0.00,0,11.62,2.11,30.50
29.90,0.00,0,11.63,2.09,30.60
29.80,0.00,0,11.63,2.07,30.70
29.90,0.00,0,11.59,2.11,30.90
29.90,0.00,0,11.61,2.10,30.80
29.80,0.00,0,11.59,2.06,31.00
29.80,0.00,8,11.59,2.16,31.10
29.80,0.00,8,11.63,2.09,31.10
29.80,0.00,8,11.63,2.12,31.10
29.80,0.00,17,11.59,2.13,31.20
29.80,0.00,42,11.56,2.10,31.50
29.80,0.00,59,11.61,2.11,31.70
29.90,0.27,67,11.59,2.15,31.80
29.80,0.67,76,11.60,2.12,31.90
29.80,1.20,85,11.56,2.08,32.00
29.80,1.47,93,11.58,2.14,32.10
29.80,1.60,102,11.60,2.12,32.20
29.80,2.00,110,11.63,2.11,32.30
29.80,2.00,110,11.60,2.11,32.30
29.80,2.27,110,11.55,2.11,32.30
29.80,2.13,119,11.61,2.14,32.40
29.80,2.27,119,11.60,2.12,32.40
29.80,2.40,127,11.63,2.12,32.50
29.80,2.40,135,11.64,2.06,32.60
29.80,2.67,144,11.58,2.08,32.70
29.90,2.67,152,11.57,2.14,32.80
29.80,2.93,170,11.60,2.09,33.00
29.80,3.20,170,11.59,2.11,33.00
29.80,3.07,178,11.62,2.04,33.10
29.80,3.33,187,11.63,2.07,33.20
29.80,3.33,195,11.56,2.11,33.30
29.80,3.33,187,11.68,2.09,33.20
29.80,3.33,195,11.57,2.08,33.30
29.80,3.47,204,11.59,2.08,33.40
29.80,3.47,204,11.59,2.07,33.40
29.80,3.47,212,11.67,2.07,33.50
29.80,3.60,212,11.57,2.08,33.50
29.80,3.60,212,11.64,2.14,33.50
29.80,3.60,220,11.63,2.12,33.60
29.80,3.60,237,11.59,2.07,33.80
29.80,3.73,255,11.63,2.08,34.00
29.80,3.87,255,11.60,2.08,34.00
29.80,4.00,255,11.59,2.01,34.20
29.80,3.87,255,11.62,2.08,34.20
29.80,3.87,255,11.63,2.07,34.20
29.80,4.00,255,11.61,2.09,34.30
29.80,3.87,255,11.56,2.11,34.40
29.80,4.00,255,11.59,2.13,34.40
29.80,3.87,255,11.58,2.09,34.50
29.70,4.00,255,11.60,2.08,34.40
29.80,3.87,255,11.65,2.12,34.50
29.70,4.00,255,11.63,2.11,34.50
29.80,3.87,255,11.57,2.14,34.50
29.80,3.87,255,11.63,2.11,34.60
29.80,4.00,255,11.63,2.08,34.60
29.70,3.87,255,11.59,2.08,34.60
29.80,4.00,255,11.59,2.10,34.60
29.80,3.87,255,11.64,2.12,34.60
29.80,4.00,255,11.58,2.09,34.60
29.80,4.00,255,11.58,2.15,34.60
29.80,3.87,255,11.63,2.09,34.60
29.80,4.00,255,11.59,2.11,34.60
29.80,3.87,255,11.62,2.14,34.60
29.80,4.00,255,11.63,2.14,34.60
29.80,3.87,255,11.66,2.14,34.60
29.80,4.00,255,11.62,2.11,34.60
29.80,3.87,255,11.59,2.08,34.60
29.80,4.00,255,11.58,2.01,34.40
29.80,3.87,255,11.62,2.09,34.50
29.80,4.00,255,11.62,2.06,34.50
29.80,3.87,255,11.57,2.37,34.50
29.80,4.00,255,11.60,2.08,34.40
29.80,4.00,255,11.56,2.08,34.50
29.80,3.87,255,11.67,2.13,34.40
29.80,4.00,255,11.63,2.11,34.50
29.80,4.00,255,11.61,2.12,34.40
29.80,3.87,255,11.54,2.13,34.50
29.80,4.00,255,11.58,2.14,34.50
29.80,3.87,255,11.57,2.08,34.50
29.80,4.00,255,11.63,2.06,34.50
29.70,3.87,255,11.60,2.13,34.60
29.70,4.00,255,11.63,2.13,34.60
29.80,4.00,255,11.63,2.10,34.60
29.80,3.87,255,11.56,2.12,34.60
29.80,4.00,255,11.63,2.09,34.80
29.80,3.87,255,11.59,2.06,34.70
29.80,3.87,255,11.64,2.05,34.80
29.80,3.87,255,11.61,2.10,34.80
29.90,4.00,255,11.63,2.08,35.00
29.80,3.87,255,11.60,2.17,35.10
29.80,4.00,255,11.63,2.16,35.20
29.80,3.87,255,11.63,2.09,35.10
29.80,3.87,255,11.60,2.10,35.20
29.80,3.87,255,11.63,2.08,35.20
29.80,4.00,255,11.58,2.05,35.30
29.80,3.87,255,11.63,2.10,35.30
29.90,3.87,255,11.61,2.08,35.30
29.80,3.87,255,11.59,2.14,35.20
29.80,4.00,255,11.60,2.09,35.30
29.80,3.87,255,11.59,2.09,35.50
29.80,3.87,255,11.59,2.08,35.60
29.90,3.87,255,11.63,2.16,35.70
29.90,3.87,255,11.63,2.11,35.70
29.80,4.00,255,11.63,2.11,35.80
29.80,3.87,255,11.62,2.04,35.80
29.80,3.87,255,11.62,2.16,35.80
29.90,3.87,255,11.60,2.10,35.80
29.80,3.87,255,11.63,2.10,35.80
29.80,3.87,255,11.63,2.15,35.80
29.80,3.87,255,11.65,2.09,35.90
29.80,3.87,255,11.59,2.05,36.00
29.90,4.00,255,11.66,2.13,36.10
29.80,3.87,255,11.61,2.11,36.00
29.90,3.87,255,11.63,2.14,36.10
29.90,3.87,255,11.63,2.13,36.20
29.80,3.87,255,11.63,2.15,36.30
